OBJECTID,DNR_REGION_NAME,DNR_CNTY_CODE,COUNTY_NAME,COUNTY_FIPS_CODE,SHAPEAREA,SHAPELEN
1281,Southeast Region,30,Kenosha,59,721045434.390803,123267.303357915
1282,South Central Region,33,Lafayette,65,1641794820.33431,164707.649840039
1283,South Central Region,54,Rock,105,1879381549.18106,174114.58774568
1284,Southeast Region,65,Walworth,127,1492598261.99808,154833.279361711
1285,South Central Region,23,Green,45,1512854983.80749,155741.104370821
1286,Southeast Region,52,Racine,101,881856997.142872,136330.146938087
1287,South Central Region,28,Jefferson,55,1508383943.1843,155148.729799997
1288,Southeast Region,68,Waukesha,133,1503091655.19795,154932.869542815
1289,South Central Region,25,Iowa,49,1987500062.33842,190748.530516351
1290,Southeast Region,41,Milwaukee,79,628432374.313689,129879.561580119
1291,South Central Region,22,Grant,43,3056072356.69112,247096.299327819
1292,South Central Region,13,Dane,25,3204610204.97562,231224.530044034
1293,West Central Region,12,Crawford,23,1550525534.07515,181827.372728474
1294,South Central Region,53,Richland,103,1524958367.28997,167590.535010413
1295,Southeast Region,67,Washington,131,1128189116.72826,138783.027127935
1296,Southeast Region,46,Ozaukee,89,609374147.976233,119252.904405944
1297,South Central Region,14,Dodge,27,2348412246.81208,195437.668075948
1298,South Central Region,57,Sauk,111,2196077682.82821,215968.209311831
1299,South Central Region,11,Columbia,21,2060373639.52567,222534.705662758
1300,West Central Region,63,Vernon,123,2113139377.55213,221363.620851304
1301,Southeast Region,60,Sheboygan,117,1340398331.12528,145771.279682053
1302,Northeast Region,20,Fond du Lac,39,1982400534.13434,204269.237383683
1303,Northeast Region,39,Marquette,77,1201734894.03428,150978.010291206
1304,Northeast Region,24,Green Lake,47,983974034.045735,142066.534907571
1305,West Central Region,32,La Crosse,63,1242359440.21099,161107.867697114
1306,West Central Region,42,Monroe,81,2350927324.52275,201575.076701675
1307,Northeast Region,70,Waushara,137,1649677049.82779,171963.630729933
1308,West Central Region,29,Juneau,57,2081415930.03091,243946.74898494
1309,West Central Region,1,Adams,1,1781418527.43681,207462.267460956
1310,Northeast Region,71,Winnebago,139,1498762652.73325,154940.941524102
1311,Northeast Region,8,Calumet,15,1027434025.82131,135857.996203174
1312,Northeast Region,36,Manitowoc,71,1542430954.79145,170576.931876237
1313,Northeast Region,45,Outagamie,87,1668716245.20026,164097.031248875
1314,West Central Region,27,Jackson,53,2588595104.344,253228.757851821
1315,West Central Region,62,Trempealeau,121,1920107762.20636,223790.375242744
1316,West Central Region,6,Buffalo,11,1837279814.43429,211900.729225382
1317,West Central Region,72,Wood,141,2094135332.3772,191085.831805094
1318,Northeast Region,69,Waupaca,135,1980254727.83069,195117.04852432
1319,West Central Region,50,Portage,97,2130215217.51593,195740.281829064
1320,West Central Region,47,Pepin,91,644168009.761629,156123.08330636
1321,Northeast Region,31,Kewaunee,61,891120607.470968,129297.816707552
1322,West Central Region,18,Eau Claire,35,1670530917.81147,173193.074775461
1323,West Central Region,48,Pierce,93,1535001841.54173,165723.551674692
1324,Northeast Region,59,Shawano,115,2354405476.33758,253897.784004002
1325,West Central Region,10,Clark,19,3153811947.4903,231503.186334935
1326,West Central Region,37,Marathon,73,4079194655.23032,269394.287482665
1327,Northeast Region,40,Menominee,78,944886803.350223,136275.44098295
1328,West Central Region,17,Dunn,33,2236630411.65923,196419.502754152
1329,West Central Region,56,St. Croix,109,1905920414.40292,182745.157374719
1330,West Central Region,9,Chippewa,17,2695241369.55062,213839.98599997
1331,Northeast Region,15,Door,29,1264058343.55501,480279.232659702
1332,Northern Region,61,Taylor,119,2547273649.22805,216140.080716335
1333,Northeast Region,43,Oconto,83,2632688086.46878,310010.740737335
1334,Northern Region,34,Langlade,67,2298178417.07424,220898.349885343
1335,Northern Region,35,Lincoln,69,2346733942.39509,193441.1732236
1336,Northern Region,55,Rusk,107,2409930944.43784,211796.566782178
1337,Northern Region,3,Barron,5,2304013500.27416,191882.689794876
1338,Northern Region,49,Polk,95,2477352683.67348,237962.489564757
1339,Northeast Region,38,Marinette,75,3702103111.68203,389404.765791208
1340,Northern Region,44,Oneida,85,3200078055.28317,260146.247066561
1341,Northern Region,51,Price,99,3307613323.89256,232671.327590438
1342,Northern Region,19,Florence,37,1287732789.20785,186024.222658838
1343,Northern Region,21,Forest,41,2708836354.83886,256474.609521061
1344,Northern Region,58,Sawyer,113,3494980627.39717,250615.256511795
1345,Northern Region,66,Washburn,129,2208826421.06402,193998.143059963
1346,Northern Region,7,Burnett,13,2278506549.40605,255299.190817779
1347,Northern Region,64,Vilas,125,2634484405.91567,250507.672291744
1348,Northern Region,26,Iron,51,2076555824.1847,241955.543402094
1349,Northern Region,16,Douglas,31,3476446002.90209,258177.017533725
1350,Northern Region,4,Bayfield,7,3914442993.36718,342451.980378664
1351,Northern Region,2,Ashland,3,2729952138.17847,526588.0654729
1352,Northeast Region,5,Brown,9,1387498145.14811,243078.303473355
